fish_name,index,url
"Lamprey, pouched",142,http://rules.fish.wa.gov.au/Species/Index/142
Salamanderfish,143,http://rules.fish.wa.gov.au/Species/Index/143
"Pygmy perch, little",144,http://rules.fish.wa.gov.au/Species/Index/144
"Trevally, silver",145,http://rules.fish.wa.gov.au/Species/Index/145
"Rockcod, grey banded",146,http://rules.fish.wa.gov.au/Species/Index/146
"Bream, northwest black",147,http://rules.fish.wa.gov.au/Species/Index/147
"Seaperch, stripey",148,http://rules.fish.wa.gov.au/Species/Index/148
"Threadfin, giant",149,http://rules.fish.wa.gov.au/Species/Index/149
Threadfin (group),150,http://rules.fish.wa.gov.au/Species/Index/150
"Emperor, red",152,http://rules.fish.wa.gov.au/Species/Index/152
Chinaman fish,153,http://rules.fish.wa.gov.au/Species/Index/153
Sailfish,154,http://rules.fish.wa.gov.au/Species/Index/154
"Sharks, speartooth (group)",155,http://rules.fish.wa.gov.au/Species/Index/155
"Sea perch, crimson",156,http://rules.fish.wa.gov.au/Species/Index/156
"Sea perch, scarlet ",157,http://rules.fish.wa.gov.au/Species/Index/157
"Snapper, ruby",158,http://rules.fish.wa.gov.au/Species/Index/158
"Snapper, goldband",159,http://rules.fish.wa.gov.au/Species/Index/159
Barracuda,160,http://rules.fish.wa.gov.au/Species/Index/160
Barracouta,161,http://rules.fish.wa.gov.au/Species/Index/161
Cobia,162,http://rules.fish.wa.gov.au/Species/Index/162
Gemfish,163,http://rules.fish.wa.gov.au/Species/Index/163
"Mackerel, grey",164,http://rules.fish.wa.gov.au/Species/Index/164
"Mackerel, school",165,http://rules.fish.wa.gov.au/Species/Index/165
"Mackerel, shark",166,http://rules.fish.wa.gov.au/Species/Index/166
"Mackerel, spotted",167,http://rules.fish.wa.gov.au/Species/Index/167
Tropical snappers and sea perch (group),168,http://rules.fish.wa.gov.au/Species/Index/168
Rays (group),169,http://rules.fish.wa.gov.au/Species/Index/169
Emperors and seabream (group),171,http://rules.fish.wa.gov.au/Species/Index/171
"Catfish, marine and estuarine (group)",172,http://rules.fish.wa.gov.au/Species/Index/172
Wrasse and parrotfish (group),174,http://rules.fish.wa.gov.au/Species/Index/174
Finfish - all other species ,175,http://rules.fish.wa.gov.au/Species/Index/175
Crustaceans - all other species,176,http://rules.fish.wa.gov.au/Species/Index/176
Yabby,178,http://rules.fish.wa.gov.au/Species/Index/178
Trevally and queenfish (group),179,http://rules.fish.wa.gov.au/Species/Index/179
Bream (group),180,http://rules.fish.wa.gov.au/Species/Index/180
"Tuna, albacore",181,http://rules.fish.wa.gov.au/Species/Index/181
Cichlids and tilapia (group),182,http://rules.fish.wa.gov.au/Species/Index/182
"Threadfin, blue",184,http://rules.fish.wa.gov.au/Species/Index/184
Native freshwater fish (group),185,http://rules.fish.wa.gov.au/Species/Index/185
Coral and live rock (group),186,http://rules.fish.wa.gov.au/Species/Index/186
Baitfish (group),187,http://rules.fish.wa.gov.au/Species/Index/187
"Tuskfish, blackspot",188,http://rules.fish.wa.gov.au/Species/Index/188
"Tuskfish, blue",189,http://rules.fish.wa.gov.au/Species/Index/189
"Trout, brown",190,http://rules.fish.wa.gov.au/Species/Index/190
Freshwater pest species (group),191,http://rules.fish.wa.gov.au/Species/Index/191
Swallowtail,192,http://rules.fish.wa.gov.au/Species/Index/192
Bight redfish,193,http://rules.fish.wa.gov.au/Species/Index/193
Molluscs and invertebrates – all other species,194,http://rules.fish.wa.gov.au/Species/Index/194
"Ark shells, cockles and pipis (group)",195,http://rules.fish.wa.gov.au/Species/Index/195
Specimen shells (group),196,http://rules.fish.wa.gov.au/Species/Index/196
"Garfish, southern",197,http://rules.fish.wa.gov.au/Species/Index/197
"Garfish, robust",198,http://rules.fish.wa.gov.au/Species/Index/198
Sawshark,199,http://rules.fish.wa.gov.au/Species/Index/199
"Shark, bronze whaler",200,http://rules.fish.wa.gov.au/Species/Index/200
"Shark, dusky whaler",201,http://rules.fish.wa.gov.au/Species/Index/201
"Shark, gummy",202,http://rules.fish.wa.gov.au/Species/Index/202
"Shark, western spotted gummy",203,http://rules.fish.wa.gov.au/Species/Index/203
"Shark, hammerhead",204,http://rules.fish.wa.gov.au/Species/Index/204
"Shark, Port Jackson",205,http://rules.fish.wa.gov.au/Species/Index/205
"Shark, sandbar",206,http://rules.fish.wa.gov.au/Species/Index/206
"Shark, tiger",207,http://rules.fish.wa.gov.au/Species/Index/207
"Shark, whiskery",208,http://rules.fish.wa.gov.au/Species/Index/208
