"","lieux","longitude","latitude","Titre","poissons_liste","img_tags","fish_urls"
"21","Esperance, Western Australia",121.8912724,-33.8613953,"4x4 fishing Esperance Fishing WA Series 3 Ep 4 Part 1<br>Salmon Fishing Bay of isles Esperance Fishing Western Australia Series 2 Ep 3 full show","<li> Salmon Fish </li><li>  Pink Snapper Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/128 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/128 '> http://rules.fish.wa.gov.au/Species/Index/128 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a>"
"22","Exmouth, Western Australia",114.1278654,-21.9323088,"Exmouth Marlin and Sailfish Fishing WA Series 1 Ep 12<br>Well this is the year Jacko and Nick joined Fishing Western Australia . Their first trip was to head north to Exmouth and chase some Marlin .<br>From the Fishing WA Archives Episode 3 - Exmouth Game Fishing","<li> Marlin Fish </li><li>  Sailfish Fish </li><li> Spanish Mackerel Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/77 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/154 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/15 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/164 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/77 '> http://rules.fish.wa.gov.au/Species/Index/77 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/154 '> http://rules.fish.wa.gov.au/Species/Index/154 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/15 '> http://rules.fish.wa.gov.au/Species/Index/15 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/164 '> http://rules.fish.wa.gov.au/Species/Index/164 </a>"
"23","Fremantle Swan River, Western Australia",115.755096,-32.0517901,"Fremantle Swan River Flathead <br>Steve goes to Fremantle to catch flathead in the Swan River","<li> Flathead Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/19 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/19 '> http://rules.fish.wa.gov.au/Species/Index/19 </a>"
"24","Fremantle, Western Australia",115.755096,-32.0517901,"Fremantle Tailor on poppers ","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"25","Gnaraloo, Western Australia",113.523903,-23.8214,"Gnaraloo Redfish <br>Steve in Gnaraloo hunting for Redfish on Jigs","<li> Redfish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/10 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/10 '> http://rules.fish.wa.gov.au/Species/Index/10 </a>"
"26","Hartog Island Islands, Western Australia",113.0250269,-25.8024022,"Dirk Hartog Islands cobia","<li> Cobia Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/162 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/162 '> http://rules.fish.wa.gov.au/Species/Index/162 </a>"
"27","Harvey Dam, Western Australia",115.9296148,-33.0772744,"Marron Harvey Dam How to Fishing Western Australia Series 14 Ep13 Full show","<li> Marron Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/29 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/29 '> http://rules.fish.wa.gov.au/Species/Index/29 </a>"
"28","Kalbarri, Western Australia",114.1713913,-27.7115397,"Series 6 Ep 2 Kalbarri Bottom Fishing<br>Series 6 Ep 2 Kalbarri Tailor<br>Today Steve takes Ryan to Lucky Bay Kalbarri for some landbased tailor action.<br>Big Kalbarri Tailor Fishing WA Series 5 Ep6 Part 1<br>Don't do this by yourself <br> Fishing WA Series 3 Ep 12<br>Kalbarri Mulloway Fishing Western Australia Series 14 Ep 5<br>Kalbarri Lucky Bay Tailor <br>Best of Fishing WA Episode 14 Preview - Kalbarri Tailor","<li> Giant Trevally Fish </li><li> Tailor Fish </li><li> Mulloway Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/97 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/121 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/97 '> http://rules.fish.wa.gov.au/Species/Index/97 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/121 '> http://rules.fish.wa.gov.au/Species/Index/121 </a>"
"29","Kalgan Bridge, Western Australia",117.97935,-34.94904,"Albany Kalgan River Bream and Mulloway<br>Steve travels to Albany with Kurt Blanksby to catch Bream in the Kalgan River and get surprised by the Mulloway","<li> Bream Black Fish </li><li>  Mulloway Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/121 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/121 '> http://rules.fish.wa.gov.au/Species/Index/121 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"30","Kimberley, Western Australia",125.9152074,-17.3491799,"Monster Barramundi  Fishing WA Series 2 Ep 18 Part 3<br>Kimberley Barramundi Magic Fishing WA Series 2 Ep 16 Part 1full Episode<br>Monster Queenies in the Kimberley Fishing Western Australia Series 2 Ep 8 Part 2<br>Kimberley Barramundi <br>Fishing WA Series 3 Ep 1 Full Show<br>Fishing Western Australia Series 13 Episode 13 Preview - Kimberley Barramundi Fishing","<li> Barramundi Fish </li><li> Queen Fish </li><li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/18 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/179 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/18 '> http://rules.fish.wa.gov.au/Species/Index/18 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/179 '> http://rules.fish.wa.gov.au/Species/Index/179 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
